|Company|Product|TypeName|Inches|Ram|OS|Weight|Price_euros|Screen|ScreenW|ScreenH|Touchscreen|IPSpanel|RetinaDisplay|CPU_company|CPU_freq|CPU_model|PrimaryStorage|SecondaryStorage|PrimaryStorageType|SecondaryStorageType|GPU_company|GPU_model
25|Dell|Inspiron 3567|Notebook|15.6|4|Windows 10|2.3|418.64|Standard|1366|768|No|No|No|Intel|2.0|Core i3 6006U|1024|0|HDD|No|Intel|HD Graphics 520
26|Apple|MacBook Air|Ultrabook|13.3|8|Mac OS X|1.35|1099.0|Standard|1440|900|No|No|No|Intel|1.6|Core i5|128|0|Flash Storage|No|Intel|HD Graphics 6000
27|Dell|Inspiron 5570|Notebook|15.6|8|Windows 10|2.2|800.0|Full HD|1920|1080|No|No|No|Intel|1.6|Core i5 8250U|256|0|SSD|No|AMD|Radeon 530
28|Dell|Latitude 5590|Ultrabook|15.6|8|Windows 10|1.88|1298.0|Full HD|1920|1080|No|No|No|Intel|1.9|Core i7 8650U|256|256|SSD|SSD|Intel|UHD Graphics 620
29|HP|ProBook 470|Notebook|17.3|8|Windows 10|2.5|896.0|Full HD|1920|1080|No|No|No|Intel|1.6|Core i5 8250U|1024|0|HDD|No|Nvidia|GeForce 930MX
30|Chuwi|"LapBook 15.6"""|Notebook|15.6|4|Windows 10|1.89|244.99|Full HD|1920|1080|No|No|No|Intel|1.44|Atom x5-Z8300|64|0|Flash Storage|No|Intel|HD Graphics
31|Asus|E402WA-GA010T (E2-6110/2GB/32GB/W10)|Notebook|14.0|2|Windows 10|1.65|199.0|Standard|1366|768|No|No|No|AMD|1.5|E-Series E2-6110|32|0|Flash Storage|No|AMD|Radeon R2
32|HP|17-ak001nv (A6-9220/4GB/500GB/Radeon|Notebook|17.3|4|Windows 10|2.71|439.0|Full HD|1920|1080|No|No|No|AMD|2.5|A6-Series 9220|500|0|HDD|No|AMD|Radeon 530
33|Dell|XPS 13|Ultrabook|13.3|16|Windows 10|1.2|1869.0|Quad HD+|3200|1800|Yes|No|No|Intel|1.8|Core i7 8550U|512|0|SSD|No|Intel|UHD Graphics 620
34|Apple|MacBook Air|Ultrabook|13.3|8|Mac OS X|1.35|998.0|Standard|1440|900|No|No|No|Intel|1.6|Core i5|256|0|Flash Storage|No|Intel|HD Graphics 6000
35|Lenovo|IdeaPad 120S-14IAP|Notebook|14.0|4|Windows 10|1.44|249.0|Standard|1366|768|No|No|No|Intel|1.1|Celeron Dual Core N3350|64|0|Flash Storage|No|Intel|HD Graphics 500
36|Acer|Aspire 3|Notebook|15.6|4|Linux|2.1|367.0|Standard|1366|768|No|No|No|Intel|2.7|Core i3 7130U|1024|0|HDD|No|Intel|HD Graphics 620
37|Dell|Inspiron 5770|Notebook|17.3|8|Windows 10|2.8|979.0|Full HD|1920|1080|No|Yes|No|Intel|1.6|Core i5 8250U|128|1024|SSD|HDD|AMD|Radeon 530
38|HP|250 G6|Notebook|15.6|4|Windows 10|1.86|488.69|Standard|1366|768|No|No|No|Intel|2.5|Core i5 7200U|1024|0|HDD|No|Intel|HD Graphics 620
39|HP|ProBook 450|Notebook|15.6|8|Windows 10|2.1|879.0|Full HD|1920|1080|No|No|No|Intel|1.6|Core i5 8250U|256|0|SSD|No|Nvidia|GeForce 930MX 
40|Asus|X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux)|Notebook|15.6|4|Linux|2.0|389.0|Full HD|1920|1080|No|No|No|Intel|2.0|Core i3 6006U|1024|0|HDD|No|Intel|HD Graphics 620
41|Dell|Inspiron 7577|Gaming|15.6|16|Windows 10|2.65|1499.0|Full HD|1920|1080|No|Yes|No|Intel|2.8|Core i7 7700HQ|256|1024|SSD|HDD|Nvidia|GeForce GTX 1060
42|Asus|X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce|Notebook|15.6|8|Linux|2.3|522.99|Standard|1366|768|No|No|No|Intel|2.5|Core i5 7200U|1024|0|HDD|No|Nvidia|GeForce 940MX
43|Acer|Aspire A515-51G|Notebook|15.6|4|Windows 10|2.2|682.0|Full HD|1920|1080|No|Yes|No|Intel|1.6|Core i5 8250U|256|0|SSD|No|Intel|UHD Graphics 620
44|Dell|Inspiron 7773|2 in 1 Convertible|17.3|12|Windows 10|2.77|999.0|Full HD|1920|1080|Yes|No|No|Intel|1.6|Core i5 8250U|1024|0|HDD|No|Nvidia|GeForce 150MX
45|Apple|MacBook Pro|Ultrabook|13.3|8|macOS|1.37|1419.0|Standard|2560|1600|No|Yes|Yes|Intel|2.0|Core i5|256|0|SSD|No|Intel|Iris Graphics 540
46|Lenovo|IdeaPad 320-15ISK|Notebook|15.6|4|No OS|2.2|369.0|Standard|1366|768|No|No|No|Intel|2.0|Core i3 6006U|128|0|SSD|No|Intel|HD Graphics 520
47|Asus|Rog Strix|Gaming|17.3|8|Windows 10|3.2|1299.0|Full HD|1920|1080|No|No|No|AMD|3.0|Ryzen 1700|256|1024|SSD|HDD|AMD|Radeon RX 580
48|Dell|Inspiron 3567|Notebook|15.6|4|Windows 10|2.3|639.0|Full HD|1920|1080|No|No|No|Intel|2.5|Core i5 7200U|256|0|SSD|No|AMD|Radeon R5 M430
49|Asus|X751NV-TY001T (N4200/4GB/1TB/GeForce|Notebook|17.3|4|Windows 10|2.8|466.0|Standard|1366|768|No|No|No|Intel|1.1|Pentium Quad Core N4200|1024|0|HDD|No|Nvidia|GeForce 920MX
50|Lenovo|Yoga Book|2 in 1 Convertible|10.1|4|Android|0.69|319.0|Standard|1920|1200|Yes|Yes|No|Intel|1.44|Atom x5-Z8550|64|0|Flash Storage|No|Intel|HD Graphics 400
51|Acer|Aspire A515-51G|Notebook|15.6|8|Windows 10|2.2|841.0|Full HD|1920|1080|No|Yes|No|Intel|1.8|Core i7 8550U|256|0|SSD|No|Nvidia|GeForce MX150
52|HP|255 G6|Notebook|15.6|4|Windows 10|1.86|398.49|Full HD|1920|1080|No|No|No|AMD|2.5|A6-Series 9220|256|0|SSD|No|AMD|Radeon R4 Graphics
53|HP|ProBook 430|Notebook|13.3|8|Windows 10|1.49|1103.0|Full HD|1920|1080|No|No|No|Intel|1.8|Core i7 8550U|512|0|SSD|No|Intel|UHD Graphics 620
54|Acer|Aspire 3|Notebook|15.6|4|Windows 10|2.4|384.0|Standard|1366|768|No|No|No|Intel|2.4|Core i3 7100U|1024|0|HDD|No|Intel|HD Graphics 620
55|Dell|Inspiron 3576|Notebook|15.6|8|Windows 10|2.13|767.8|Full HD|1920|1080|No|No|No|Intel|1.8|Core i7 8550U|256|0|SSD|No|AMD|Radeon 520
56|HP|15-bs002nv (i3-6006U/4GB/128GB/FHD/W10)|Notebook|15.6|4|Windows 10|1.91|439.0|Full HD|1920|1080|No|No|No|Intel|2.0|Core i3 6006U|128|0|SSD|No|Intel|HD Graphics 520
57|Asus|VivoBook Max|Notebook|15.6|4|Windows 10|2.0|586.19|Standard|1366|768|No|No|No|Intel|2.5|Core i5 7200U|256|0|SSD|No|Intel|HD Graphics 620
58|MSI|GS73VR 7RG|Gaming|17.3|16|Windows 10|2.43|2449.0|Full HD|1920|1080|No|No|No|Intel|2.8|Core i7 7700HQ|256|2048|SSD|HDD|Nvidia|GeForce GTX 1070
59|Asus|X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux)|Notebook|15.6|4|Linux|2.0|415.0|Full HD|1920|1080|No|No|No|Intel|2.0|Core i3 6006U|256|0|SSD|No|Intel|HD Graphics 520
60|Dell|Inspiron 5770|Notebook|17.3|16|Windows 10|2.8|1299.0|Full HD|1920|1080|No|No|No|Intel|1.8|Core i7 8550U|256|2048|SSD|HDD|AMD|Radeon 530
61|Dell|Vostro 5471|Ultrabook|14.0|8|Windows 10|1.7|879.0|Full HD|1920|1080|No|No|No|Intel|1.6|Core i5 8250U|256|0|SSD|No|Intel|UHD Graphics 620
62|Lenovo|IdeaPad 520S-14IKB|Notebook|14.0|8|No OS|1.7|599.0|Full HD|1920|1080|No|Yes|No|Intel|2.7|Core i3 7130U|256|0|SSD|No|Intel|HD Graphics 620
63|Asus|UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10)|Notebook|14.0|8|Windows 10|1.4|941.0|Full HD|1920|1080|No|No|No|Intel|1.6|Core i5 8250U|256|0|SSD|No|Intel|UHD Graphics 620
64|HP|250 G6|Notebook|15.6|8|Windows 10|1.86|690.0|Full HD|1920|1080|No|No|No|Intel|2.5|Core i5 7200U|256|0|SSD|No|Intel|HD Graphics 620
65|Asus|ZenBook Pro|Ultrabook|15.6|16|Windows 10|1.8|1983.0|Full HD|1920|1080|No|No|No|Intel|2.8|Core i7 7700HQ|512|0|SSD|No|Nvidia|GeForce GTX 1050 Ti
66|HP|250 G6|Notebook|15.6|4|Windows 10|1.86|438.69|Standard|1366|768|No|No|No|Intel|2.0|Core i3 6006U|500|0|HDD|No|AMD|Radeon 520
67|HP|Stream 14-AX040wm|Notebook|14.0|4|Windows 10|1.44|229.0|Standard|1366|768|No|No|No|Intel|1.6|Celeron Dual Core N3060|32|0|SSD|No|Intel|HD Graphics 400
68|Lenovo|V310-15ISK (i5-7200U/4GB/1TB/FHD/W10)|Notebook|15.6|4|Windows 10|1.9|549.0|Full HD|1920|1080|No|No|No|Intel|2.5|Core i5 7200U|1024|0|HDD|No|Intel|HD Graphics 620
69|Asus|FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce|Gaming|17.3|12|Linux|3.0|949.0|Full HD|1920|1080|No|No|No|Intel|2.8|Core i7 7700HQ|1024|0|HDD|No|Nvidia|GeForce GTX 1050 Ti
70|Microsoft|Surface Laptop|Ultrabook|13.5|4|Windows 10 S|1.252|1089.0|Standard|2256|1504|Yes|No|No|Intel|2.5|Core i5 7200U|128|0|SSD|No|Intel|HD Graphics 620
71|Dell|Inspiron 5370|Ultrabook|13.3|8|Windows 10|1.4|955.0|Full HD|1920|1080|No|Yes|No|Intel|1.8|Core i7 8550U|256|0|SSD|No|AMD|Radeon 530
72|Dell|Inspiron 5570|Notebook|15.6|8|Windows 10|2.2|870.0|Full HD|1920|1080|No|No|No|Intel|1.8|Core i7 8550U|256|0|SSD|No|AMD|Radeon 530
73|MSI|GL72M 7RDX|Gaming|17.3|8|Windows 10|2.7|1095.0|Full HD|1920|1080|No|No|No|Intel|2.5|Core i5 7300HQ|128|1024|SSD|HDD|Nvidia|GeForce GTX 1050
74|Acer|Aspire E5-475|Notebook|14.0|8|Windows 10|2.1|389.0|Standard|1366|768|No|No|No|Intel|2.0|Core i3 6006U|1024|0|HDD|No|Intel|HD Graphics 520
75|Asus|FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce|Gaming|15.6|8|Windows 10|2.2|949.0|Full HD|1920|1080|No|No|No|Intel|2.8|Core i7 7700HQ|1024|0|HDD|No|Nvidia|GeForce GTX 1050
76|Lenovo|IdeaPad 320-15IKBN|Notebook|15.6|8|No OS|2.2|519.0|Full HD|1920|1080|No|No|No|Intel|2.5|Core i5 7200U|2048|0|HDD|No|Intel|HD Graphics 620
77|Dell|Inspiron 5570|Notebook|15.6|8|Windows 10|2.02|855.0|Full HD|1920|1080|No|No|No|Intel|1.8|Core i7 8550U|128|1024|SSD|HDD|Intel|UHD Graphics 620
78|Acer|Aspire A515-51G-32MX|Notebook|15.6|4|Windows 10|2.2|530.0|Full HD|1920|1080|No|No|No|Intel|2.7|Core i3 7130U|1024|0|HDD|No|Nvidia|GeForce MX130
79|HP|ProBook 470|Notebook|17.3|8|Windows 10|2.5|977.0|Full HD|1920|1080|No|No|No|Intel|1.6|Core i5 8250U|128|1024|SSD|HDD|Nvidia|GeForce 930MX
80|Dell|Latitude 5590|Ultrabook|15.6|8|Windows 10|1.88|1096.16|Full HD|1920|1080|No|Yes|No|Intel|1.6|Core i5 8250U|256|0|SSD|No|Intel|UHD Graphics 620
81|Apple|"MacBook 12"""|Ultrabook|12.0|8|macOS|0.92|1510.0|Standard|2304|1440|No|Yes|Yes|Intel|1.3|Core i5|512|0|SSD|No|Intel|HD Graphics 615
82|HP|ProBook 440|Notebook|14.0|8|Windows 10|1.63|860.0|Full HD|1920|1080|No|No|No|Intel|1.6|Core i5 8250U|256|0|SSD|No|Intel|HD Graphics 620
83|Lenovo|IdeaPad 320-15AST|Notebook|15.6|4|Windows 10|2.2|399.0|Full HD|1920|1080|No|No|No|AMD|2.5|A6-Series 9220|128|0|SSD|No|AMD|R4 Graphics
84|Acer|Aspire 3|Notebook|15.6|4|Windows 10|2.1|395.0|Standard|1366|768|No|No|No|AMD|3.0|A9-Series 9420|1024|0|HDD|No|AMD|Radeon R5
85|Dell|Inspiron 7577|Gaming|15.6|16|Windows 10|2.65|1349.0|Full HD|1920|1080|No|Yes|No|Intel|2.8|Core i7 7700HQ|128|1024|SSD|HDD|Nvidia|GeForce GTX 1050 Ti
86|HP|Pavilion 15-CK000nv|Ultrabook|15.6|8|Windows 10|1.83|699.0|Full HD|1920|1080|No|Yes|No|Intel|1.8|Core i7 8550U|256|0|SSD|No|Nvidia|GeForce GTX 940MX
87|HP|250 G6|Notebook|15.6|8|Windows 10|1.96|598.99|Full HD|1920|1080|No|No|No|Intel|2.5|Core i5 7200U|256|0|SSD|No|Intel|HD Graphics 620
88|Asus|FX503VM-E4007T (i7-7700HQ/16GB/1TB|Gaming|15.6|16|Windows 10|2.2|1449.0|Full HD|1920|1080|No|Yes|No|Intel|2.8|Core i7 7700HQ|128|1024|SSD|HDD|Nvidia|GeForce GTX 1060
89|Dell|XPS 13|Ultrabook|13.3|8|Windows 10|1.21|1649.0|Full HD|1920|1080|No|Yes|No|Intel|1.8|Core i7 8550U|256|0|SSD|No|Intel|UHD Graphics 620
90|Asus|FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon|Gaming|15.6|8|Windows 10|2.45|699.0|Full HD|1920|1080|No|No|No|AMD|3.0|FX 9830P|1024|0|HDD|No|AMD|Radeon RX 560
91|Acer|Aspire 5|Notebook|15.6|8|Windows 10|2.2|689.0|Full HD|1920|1080|No|No|No|Intel|1.8|Core i7 8550U|1024|0|HDD|No|Nvidia|GeForce MX150
92|HP|Probook 430|Notebook|13.3|16|Windows 10|1.49|1197.0|Full HD|1920|1080|No|No|No|Intel|1.8|Core i7 8550U|512|0|SSD|No|Intel|UHD Graphics 620
93|Dell|Inspiron 7577|Gaming|15.6|8|Windows 10|2.65|1195.0|Full HD|1920|1080|No|No|No|Intel|2.5|Core i5 7300HQ|256|0|SSD|No|Nvidia|GeForce GTX 1060
94|Asus|Zenbook UX430UA|Ultrabook|14.0|8|Windows 10|1.25|1049.0|Full HD|1920|1080|No|No|No|Intel|2.7|Core i7 7500U|256|0|SSD|No|Intel|HD Graphics 620
95|Acer|Spin 5|2 in 1 Convertible|13.3|8|Windows 10|1.5|847.0|Full HD|1920|1080|Yes|Yes|No|Intel|1.6|Core i5 8250U|256|0|SSD|No|Intel|UHD Graphics 620
96|Dell|Inspiron 3567|Notebook|15.6|8|Linux|2.2|599.9|Full HD|1920|1080|No|No|No|Intel|2.7|Core i7 7500U|1024|0|HDD|No|AMD|Radeon R5 M430
97|Dell|Inspiron 3567|Notebook|15.6|4|Linux|2.2|485.0|Full HD|1920|1080|No|No|No|Intel|2.0|Core i3 6006U|256|0|SSD|No|AMD|Radeon R5 M430
98|Asus|X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce|Notebook|15.6|6|Windows 10|2.0|577.0|Full HD|1920|1080|No|No|No|Intel|2.4|Core i3 7100U|256|0|SSD|No|Nvidia|GeForce 920M
99|HP|Omen 15-ce007nv|Gaming|15.6|12|Windows 10|2.62|1249.0|Full HD|1920|1080|No|Yes|No|Intel|2.8|Core i7 7700HQ|128|1024|SSD|HDD|Nvidia|GeForce GTX 1050
100|HP|15-bs017nv (i7-7500U/8GB/256GB/Radeon|Notebook|15.6|8|Windows 10|1.91|719.0|Full HD|1920|1080|No|No|No|Intel|2.7|Core i7 7500U|256|0|SSD|No|AMD|Radeon 530
101|HP|15-bw000nv (E2-9000e/4GB/500GB/Radeon|Notebook|15.6|4|Windows 10|2.1|349.0|Full HD|1920|1080|No|No|No|AMD|1.5|E-Series E2-9000e|500|0|HDD|No|AMD|Radeon R2
102|Dell|Inspiron 3576|Notebook|15.6|8|Linux|2.2|647.0|Full HD|1920|1080|No|No|No|Intel|1.6|Core i5 8250U|1024|0|HDD|No|AMD|Radeon 520
103|HP|Envy 13-ad009n|Ultrabook|13.3|8|Windows 10|1.38|1119.0|Full HD|1920|1080|No|Yes|No|Intel|2.7|Core i7 7500U|256|0|SSD|No|Nvidia|GeForce MX150
104|Microsoft|Surface Laptop|Ultrabook|13.5|8|Windows 10 S|1.252|1340.0|Standard|2256|1504|Yes|No|No|Intel|2.5|Core i5 7200U|256|0|SSD|No|Intel|HD Graphics 620
105|HP|Pavilion 14-BK001nv|Notebook|14.0|6|Windows 10|1.58|659.0|Full HD|1920|1080|No|Yes|No|Intel|2.5|Core i5 7200U|256|0|SSD|No|Nvidia|GeForce 940MX
106|Lenovo|Ideapad 310-15ISK|Notebook|15.6|4|Windows 10|1.85|414.9|Full HD|1920|1080|No|No|No|Intel|2.0|Core i3 6006U|1024|0|HDD|No|Intel|HD Graphics 520
107|Asus|UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce|Ultrabook|14.0|8|Windows 10|1.3|1193.0|Full HD|1920|1080|No|Yes|No|Intel|2.7|Core i7 7500U|256|0|SSD|No|Nvidia|GeForce 940MX
108|MSI|GP62M 7REX|Gaming|15.6|16|Windows 10|2.2|1299.0|Full HD|1920|1080|No|No|No|Intel|2.8|Core i7 7700HQ|256|1024|SSD|HDD|Nvidia|GeForce GTX 1050 Ti
109|Lenovo|Thinkpad T470|Notebook|14.0|8|Windows 10|1.58|1480.0|Full HD|1920|1080|No|Yes|No|Intel|2.7|Core i7 7500U|256|0|SSD|No|Intel|HD Graphics 620
110|Asus|VivoBook S15|Ultrabook|15.6|16|Windows 10|1.5|1262.0|Full HD|1920|1080|No|No|No|Intel|1.8|Core i7 8550U|256|1024|SSD|HDD|Nvidia|GeForce MX150
111|Dell|XPS 13|Ultrabook|13.3|8|Windows 10|1.23|1379.0|Quad HD+|3200|1800|Yes|No|No|Intel|2.4|Core i7 7560U|256|0|SSD|No|Intel|Iris Plus Graphics 640
112|Lenovo|ThinkPad Yoga|2 in 1 Convertible|13.3|8|Windows 10|1.37|1399.0|Full HD|1920|1080|Yes|Yes|No|Intel|2.5|Core i5 7200U|256|0|SSD|No|Intel|HD Graphics 620
113|HP|Probook 440|Notebook|14.0|4|Windows 10|1.63|722.0|Standard|1366|768|No|Yes|No|Intel|1.6|Core i5 8250U|500|0|HDD|No|Intel|UHD Graphics 620
114|Dell|XPS 13|Ultrabook|13.3|8|Windows 10|1.21|1629.0|Full HD|1920|1080|No|Yes|No|Intel|1.6|Core i5 8250U|256|0|SSD|No|Intel|UHD Graphics 620
115|HP|Spectre x360|2 in 1 Convertible|13.3|8|Windows 10|1.26|1398.99|Full HD|1920|1080|Yes|Yes|No|Intel|1.6|Core i5 8250U|256|0|SSD|No|Intel|UHD Graphics 620
116|HP|Probook 440|Notebook|14.0|8|Windows 10|1.63|1084.0|Full HD|1920|1080|No|No|No|Intel|1.8|Core i7 8550U|512|0|SSD|No|Intel|UHD Graphics 620
117|Dell|Inspiron 7570|Notebook|15.6|8|Windows 10|2.16|1130.33|Full HD|1920|1080|No|Yes|No|Intel|1.8|Core i7 8550U|256|1024|SSD|HDD|Nvidia|GeForce 940MX
118|Asus|X705UV-BX074T (i3-6006U/4GB/1TB/GeForce|Notebook|17.3|4|Windows 10|2.0|564.0|Full HD|1920|1080|No|No|No|Intel|2.0|Core i3 6006U|1024|0|HDD|No|Nvidia|GeForce 920MX
119|Asus|VivoBook S15|Notebook|15.6|8|Windows 10|1.7|1118.0|Full HD|1920|1080|No|No|No|Intel|1.8|Core i7 8550U|256|0|SSD|No|Nvidia|GeForce 940MX
120|Acer|Spin 3|Notebook|15.6|6|Windows 10|2.1|479.0|Full HD|1920|1080|Yes|Yes|No|Intel|2.4|Core i3 7100U|1024|0|HDD|No|Intel|HD Graphics 620
121|MSI|GS63VR 7RG|Gaming|15.6|16|Windows 10|1.8|2241.5|Full HD|1920|1080|No|No|No|Intel|2.8|Core i7 7700HQ|256|2048|SSD|HDD|Nvidia|GeForce GTX 1070
122|Lenovo|IdeaPad 320-15IKBN|Notebook|15.6|8|No OS|2.2|629.0|Full HD|1920|1080|No|No|No|Intel|2.5|Core i5 7200U|256|0|SSD|No|Nvidia|GeForce 940MX
123|HP|Probook 470|Notebook|17.3|16|Windows 10|2.5|1271.0|Full HD|1920|1080|No|No|No|Intel|1.8|Core i7 8550U|512|0|SSD|No|Nvidia|GeForce 930MX 
124|Acer|Aspire 3|Notebook|15.6|4|Windows 10|2.1|451.0|Standard|1366|768|No|No|No|AMD|3.0|A9-Series 9420|256|0|SSD|No|AMD|Radeon R5
125|HP|250 G6|Notebook|15.6|4|No OS|1.86|259.0|Standard|1366|768|No|No|No|Intel|1.6|Celeron Dual Core N3060|500|0|HDD|No|Intel|HD Graphics 400
126|HP|Probook 440|Notebook|14.0|8|Windows 10|1.63|812.0|Full HD|1920|1080|No|No|No|Intel|1.6|Core i5 8250U|1024|0|HDD|No|Intel|UHD Graphics 620
127|Asus|E402WA-GA007T (E2-6110/4GB/64GB/W10|Notebook|14.0|4|Windows 10 S|1.65|277.99|Standard|1366|768|No|No|No|AMD|1.5|E-Series 6110|64|0|SSD|No|AMD|Radeon R2
128|Dell|Inspiron 5770|Notebook|17.3|16|Windows 10|2.8|1396.0|Full HD|1920|1080|No|No|No|Intel|1.8|Core i7 8550U|256|2048|SSD|HDD|AMD|Radeon 530
129|HP|ProBook 470|Notebook|17.3|8|Windows 10|2.5|928.0|Full HD|1920|1080|No|No|No|Intel|1.6|Core i5 8250U|256|0|SSD|No|Intel|UHD Graphics 620
130|Dell|Inspiron 5567|Notebook|15.6|8|Windows 10|2.36|638.99|Standard|1366|768|No|No|No|Intel|2.5|Core i5 7200U|1024|0|HDD|No|AMD|Radeon R7 M445
131|Dell|Inspiron 3567|Notebook|15.6|4|Windows 10|2.2|449.0|Full HD|1920|1080|No|No|No|Intel|2.0|Core i3 6006U|1024|0|HDD|No|AMD|Radeon R5 M430
132|Acer|Swift 3|Ultrabook|14.0|8|Windows 10|1.6|884.0|Full HD|1920|1080|No|Yes|No|Intel|1.8|Core i7 8550U|256|0|SSD|No|Intel|UHD Graphics 620
